station	lon     	lat     	v_vert	v_std
BN02	-70.405047	-23.668493	3.384	0.915
BN08	-73.049265	-36.827107	-3.812	2.902
BN11	-72.068576	-45.571988	-1.867	0.590
BN12	-70.912524	-53.159921	0.521	0.691
BNDY	152.321006	-24.908222	-0.961	0.214
BOAV	-60.701115	2.845183	1.385	0.347
BOBB	9.383442	44.770626	0.698	0.249
BOGI	21.035215	52.474992	1.043	0.351
BOGO	21.035342	52.475947	0.228	0.113
BOGS	-94.697736	48.252288	-2.892	0.702
BOLO	11.328837	44.487619	0.429	0.619
BOLU	31.602033	40.733540	1.907	0.299
BOMG	-115.729705	33.364629	0.117	1.188
BOMJ	-43.421736	-13.255558	2.384	0.349
BONN	7.158767	50.675939	2.543	0.566
BOR2	10.695983	44.306241	0.024	0.496
BORB	-7.462514	38.810323	-0.713	0.198
BORC	12.218132	46.437214	1.468	0.255
BORM	10.363977	46.468183	3.001	0.310
BORR	-0.083210	39.905180	-0.192	0.111
BOWM	-78.665662	43.902548	-0.033	0.469
BOYT	34.796662	41.461040	0.215	0.279
BRAD	-119.051459	39.777365	0.519	0.218
BRAE	-3.395600	57.006738	2.067	0.445
BRAM	-79.768907	43.671700	-0.268	0.390
BRAN	-118.277049	34.184894	0.245	0.376
BRAS	11.113084	44.122166	0.868	0.307
BRAW	-115.521766	32.978421	0.895	0.968
BRAZ	-47.877869	-15.947475	-1.304	0.652
BRBZ	11.941341	46.796554	1.297	0.180
BRCH	-83.867258	43.250787	-1.523	0.275
BRD2	4.746395	51.563375	-0.515	0.250
BREA	10.232767	45.564930	2.335	0.618
BREI	10.551000	47.548716	0.604	0.160
BRES	-0.473553	46.839656	-0.536	0.120
BRET	2.314978	48.610336	-0.124	0.107
BREW	-119.682634	48.131524	-0.366	0.137
BRFT	-38.425537	-3.877446	-0.549	0.154
BRIB	-122.152550	37.919404	1.927	0.285
BRIG	-83.756655	42.520102	-1.231	0.388
BRIT	27.776611	-25.635753	1.172	0.243
BRKG	-96.786290	44.314862	-0.842	0.432
BRKS	-92.588549	46.858059	-2.275	0.200
BRMS	-91.845651	47.345374	-1.459	0.454
BRMU	-64.696273	32.370399	-0.044	0.288
BRNB	-123.021821	49.275056	-1.088	0.364
BRNK	28.732728	-25.803352	1.594	0.233
BRO1	122.209087	-18.003973	0.064	0.409
BRPK	-118.576808	34.682283	2.201	0.332
BRSE	12.084059	46.100031	3.465	0.578
BRST	-4.496596	48.380493	-0.432	0.627
BRTW	-81.782838	27.949628	-0.589	0.235
BRU5	-69.946576	43.889817	0.752	0.325
BRU6	-69.946638	43.889709	0.516	0.321
BSCN	5.989386	47.246881	0.775	0.361
BSHM	35.022982	32.778984	0.449	0.170
BSNC	-112.531488	44.739643	0.691	0.405
BSPC	-112.862934	44.578429	0.368	0.403
BSRY	-117.011993	34.918612	0.298	0.231
BSUM	-122.132300	47.554243	-0.456	1.221
BTDM	-118.188224	34.292805	2.218	0.264
BTMN	41.154484	37.863603	2.372	0.474
BUAN	5.353596	48.486154	0.185	0.183
BUC3	-75.415843	45.587443	3.654	0.452
BUCK	-2.961488	57.676134	1.391	0.415
BUCU	26.125741	44.463945	3.196	0.135
BUDP	12.500025	55.739020	1.271	0.229
BUE1	-58.519299	-34.573701	2.117	0.359
BUE2	-58.519299	-34.573701	2.145	0.385
BUEH	-112.627652	44.696344	0.807	0.526
BUEN	-77.010420	3.882023	-0.636	0.519
BUGN	1.936109	50.098115	-0.396	0.164
BUR2	145.914852	-41.050065	-0.509	0.212
BURA	117.174643	-30.525520	-0.516	0.179
BUS1	0.639631	45.675856	-0.302	0.410
BUST	-116.450942	36.745336	0.384	0.275
BVPP	-119.347506	35.157276	1.461	0.277
BWES	22.573561	-32.347379	0.499	0.189
BZRG	11.336797	46.499024	1.027	0.410
CAAL	-2.547606	37.221093	-0.215	0.250
CABR	-4.424233	37.467958	-0.506	0.162
CABW	4.926182	51.969547	-0.194	0.133
CACT	-115.989948	33.655135	0.249	0.326
CADE	9.062117	53.746293	1.029	0.439
CADI	-78.425523	48.250387	7.327	0.510
CAEN	-0.457128	49.182702	-1.106	0.380
CAFE	15.236633	41.028081	1.005	0.127
CAGL	8.972753	39.135912	-0.361	0.166
CAGS	-75.807327	45.585021	3.296	0.291
CAL3	-77.149320	-12.062875	1.430	1.098
CALH	-1.995028	42.294946	-0.663	0.232
CALI	-76.532565	3.375787	-0.166	0.976
CALV	19.761956	-31.482071	0.396	0.114
CAM1	-5.327370	50.218443	-0.099	0.255
CAMU	11.977534	43.258862	0.564	0.327
CAND	-120.433696	35.939352	3.963	0.283
CANK	33.610381	40.608577	0.461	0.267
CANV	12.435020	46.008294	0.104	0.321
CAR4	13.974192	41.194722	0.776	0.356
CAR8	16.211399	39.253385	0.487	0.311
CARC	-1.440804	42.378154	-0.720	0.279
CARH	-120.430821	35.888384	0.735	0.250
